id,name,networth,country,source,rank,age,citizenship,status,children,self_made,degree,university,longitude,latitude
2716,Vitaly Orlov,1.0,Russia,fisheries,2674,56,Russia,Married,4,True,Bachelor of Engineering, Murmansk Higher Marine Engineering School,33.07497,68.970665
2725,Shin Dong-joo,1.0,South Korea,retail,2674,67,South Korea,Married,1,False,Bachelor of Arts/Economics," Aoyama Gakuin University; Master of Business Administration, Columbia Business School",139.7594549,35.6828387
2727,Zakhar Smushkin,1.0,Russia,"pulp and paper, diversified",2674,59,Russia,Married,1,True,Master of Science, Leningrad Technological Institute of Pulp and Paper Industry,30.316229,59.938732
2731,Manny Stul,1.0,Australia,toys,2674,71,Australia,Married,2,True,High School Graduate, High School,144.960964,-37.8077694
2732,Vlad Tenev,1.0,United States,stock trading,2674,34,United States,Married,1,True,Bachelor of Arts/Science, Stanford University,-122.1598465,37.4443293
2733,Rit Thirakomen,1.0,Thailand,restaurants,2674,69,Thailand,Married,3,False,Bachelor of Science in Engineering, Chulalongkorn University,100.4930399,13.7544238
2737,Ruben Vardanyan,1.0,Russia,investment banking,2674,52,Russia,Married,4,True,Master of Science, Moscow State University,37.6174943,55.7504461
2742,J. Wayne Weaver,1.0,United States,Shoes,2674,85,United States,Married,2,True,Bachelor of Science, University of Florida,-81.65565100000001,30.3321838
2743,Sandy Weill,1.0,United States,Citigroup,2674,88,United States,Married,2,True,Bachelor of Arts/Science, Cornell University,-122.8473388,38.5110803
2746,Vadim Yakunin,1.0,Russia,pharmacy,2674,58,Russia,Married,3,True,Bachelor of Arts/Science, Moscow Institute of Physics and Technology,37.6174943,55.7504461
